기간	자치구	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타	기타	기타
기간	자치구	합계	한국은행	조흥은행	한국상업은행	제일은행	한일은행	서울은행	국민은행	한국외환은행	한국주택은행	신한은행	한국씨티은행	동화은행	동남은행	대동은행	하나은행	보람은행	평화은행	우리은행	지방은행	기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	축협중앙회	장기신용은행	외국은행
1983	합계	929	1	85	85	81	87	104	107	53	68	15	4	-	-	-	-	-	-	-	10	98	53	9	1	1	2	4	61
1983	종로구	96	-	7	7	8	10	13	9	6	3	1	1	-	-	-	-	-	-	-	1	6	5	2	-	-	-	-	17
1983	중구	185	1	15	17	12	14	18	8	12	9	3	-	-	-	-	-	-	-	-	9	11	6	2	1	1	-	2	44
1983	용산구	38	-	6	3	4	4	4	4	4	-	1	-	-	-	-	-	-	-	-	-	4	4	-	-	-	-	-	-
1983	성동구	56	-	5	5	9	4	6	9	3	4	1	-	-	-	-	-	-	-	-	-	6	4	-	-	-	-	-	-
1983	동대문구	58	-	8	6	5	6	7	8	2	5	1	-	-	-	-	-	-	-	-	-	7	2	1	-	-	-	-	-
1983	성북구	37	-	3	2	5	5	6	9	1	2	-	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	-	-
1983	도봉구	34	-	2	2	1	2	5	5	2	2	1	-	-	-	-	-	-	-	-	-	7	5	-	-	-	-	-	-
1983	은평구	24	-	1	1	2	2	2	3	1	5	-	-	-	-	-	-	-	-	-	-	3	4	-	-	-	-	-	-
1983	서대문구	28	-	3	5	1	2	3	2	1	1	-	-	-	-	-	-	-	-	-	-	8	1	1	-	-	-	-	-
1983	마포구	33	-	4	2	3	3	6	5	3	1	-	-	-	-	-	-	-	-	-	-	3	2	1	-	-	-	-	-
1983	강서구	38	-	4	3	4	3	3	6	1	6	-	-	-	-	-	-	-	-	-	-	6	2	-	-	-	-	-	-
