기간	자치구	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	합계	한국은행	우리은행	SC제일은행	KB국민은행	한국외환은행	신한은행	한국씨티은행	하나은행	지방은행	IBK기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	외국은행
2010	합계	2,645	2	444	209	455	156	413	98	323	20	217	200	55	10	2	41
2010	종로구	149	-	24	10	23	12	19	4	13	-	11	19	-	1	-	13
2010	중구	221	1	37	13	31	11	38	7	22	6	16	13	5	-	-	21
2010	용산구	89	-	17	8	12	5	12	2	14	-	9	10	-	-	-	-
2010	성동구	62	-	8	7	12	3	10	4	7	-	6	5	-	-	-	-
2010	광진구	71	-	12	7	16	6	11	2	8	-	5	2	1	-	-	1
2010	동대문구	72	-	15	6	12	4	8	1	9	-	7	7	3	-	-	-
2010	중랑구	37	-	7	4	9	2	5	-	4	-	2	2	2	-	-	-
2010	성북구	78	-	12	7	15	4	12	1	14	-	6	6	1	-	-	-
2010	강북구	39	-	7	2	8	2	4	-	7	-	4	3	2	-	-	-
2010	도봉구	38	-	6	2	8	2	8	1	4	-	2	4	1	-	-	-
2010	노원구	72	-	14	2	15	1	10	3	10	-	7	8	1	1	-	-
2010	은평구	55	-	6	4	11	3	9	1	8	-	6	4	3	-	-	-
2010	서대문구	65	-	15	6	10	3	9	1	10	-	7	4	-	-	-	-
2010	마포구	106	-	18	6	16	8	16	3	16	-	9	9	4	1	-	-
2010	양천구	84	-	11	10	16	6	16	3	11	-	5	5	1	-	-	-
2010	강서구	81	-	14	6	14	3	17	1	9	1	7	6	3	-	-	-
2010	구로구	76	-	14	7	14	6	9	1	8	1	13	3	-	-	-	-
2010	금천구	61	-	12	3	9	2	8	-	5	-	13	6	2	1	-	-
2010	영등포구	157	-	27	11	29	7	22	5	18	5	16	10	5	1	1	-
2010	동작구	62	-	13	4	11	2	13	1	9	-	3	5	1	-	-	-
2010	관악구	63	-	15	4	15	2	10	1	4	-	5	5	2	-	-	-
2010	서초구	243	-	34	22	37	22	41	14	32	1	18	13	4	1	1	3
2010	강남구	405	1	61	33	67	26	66	28	45	6	25	34	7	3	-	3
2010	송파구	181	-	30	18	30	11	29	11	24	-	10	12	5	1	-	-
2010	강동구	78	-	15	7	15	3	11	3	12	-	5	5	2	-	-	-
2011	합계	2,636	2	454	197	425	156	418	104	321	21	216	201	54	23	2	42
2011	종로구	146	-	24	11	21	12	19	4	13	-	9	17	-	3	-	13
2011	중구	222	1	38	11	30	11	39	6	22	6	17	13	5	1	-	22
2011	용산구	96	-	17	8	12	5	13	5	14	-	10	11	-	1	-	-
2011	성동구	63	-	11	7	10	3	9	4	7	-	6	5	-	1	-	-
2011	광진구	69	-	12	6	15	6	11	2	8	-	5	2	1	-	-	1
2011	동대문구	72	-	15	5	12	4	8	1	9	-	7	8	3	-	-	-
2011	중랑구	38	-	8	3	9	2	6	-	4	-	2	2	2	-	-	-
2011	성북구	78	-	13	7	14	4	12	1	14	-	6	6	1	-	-	-
2011	강북구	38	-	6	2	8	2	4	-	7	-	4	3	2	-	-	-
2011	도봉구	38	-	6	2	8	2	8	1	4	-	2	4	1	-	-	-
2011	노원구	72	-	14	2	15	1	10	3	10	-	7	8	1	1	-	-
2011	은평구	53	-	7	3	10	3	8	1	8	-	5	5	3	-	-	-
2011	서대문구	63	-	15	5	9	3	9	1	10	-	7	4	-	-	-	-
2011	마포구	105	-	18	6	14	8	17	3	15	1	9	9	4	1	-	-
2011	양천구	85	-	12	10	15	6	16	4	11	-	5	5	1	-	-	-
2011	강서구	81	-	14	6	15	3	17	1	9	-	7	6	3	-	-	-
2011	구로구	76	-	14	6	14	6	9	1	8	2	13	3	-	-	-	-
2011	금천구	62	-	12	3	8	2	9	-	5	-	13	6	2	2	-	-
2011	영등포구	153	-	27	11	26	7	22	4	17	5	16	10	5	2	1	-
2011	동작구	62	-	13	3	12	3	13	1	8	-	3	5	1	-	-	-
2011	관악구	61	-	15	3	14	2	10	1	4	-	5	5	2	-	-	-
2011	서초구	242	-	35	20	33	21	43	15	32	1	18	13	4	3	1	3
2011	강남구	404	1	61	34	59	26	66	31	46	6	24	34	7	6	-	3
2011	송파구	177	-	31	17	26	11	29	11	24	-	10	12	4	2	-	-
2011	강동구	80	-	16	6	16	3	11	3	12	-	6	5	2	-	-	-
2012	합계	2,667	2	466	187	439	154	406	102	323	29	223	205	56	30	2	43
2012	종로구	147	-	24	12	23	12	19	4	13	-	9	17	-	2	-	12
2012	중구	226	1	37	12	30	12	39	6	21	6	17	14	5	2	-	24
2012	용산구	98	-	18	8	13	5	12	4	14	-	12	11	-	1	-	-
2012	성동구	62	-	12	6	11	2	8	4	7	-	6	5	-	1	-	-
2012	광진구	68	-	12	5	15	6	11	2	8	-	5	2	1	-	-	1
2012	동대문구	72	-	15	4	13	4	8	1	9	-	7	8	3	-	-	-
2012	중랑구	38	-	8	3	9	2	6	-	4	-	2	2	2	-	-	-
2012	성북구	82	-	15	6	15	4	12	1	15	1	6	6	1	-	-	-
2012	강북구	37	-	6	2	8	2	4	-	6	-	4	3	2	-	-	-
2012	도봉구	38	-	6	2	8	2	8	1	4	-	2	4	1	-	-	-
2012	노원구	72	-	14	2	17	1	9	3	9	-	7	7	1	2	-	-
2012	은평구	54	-	9	2	10	3	8	1	8	-	5	5	3	-	-	-
2012	서대문구	66	-	16	4	10	3	9	1	10	-	7	5	-	1	-	-
2012	마포구	106	-	18	6	15	7	16	2	15	2	11	9	4	1	-	-
2012	양천구	86	-	13	11	15	6	16	3	11	-	5	5	1	-	-	-
2012	강서구	81	-	14	6	15	3	17	1	9	-	7	6	3	-	-	-
2012	구로구	78	-	14	6	13	6	9	1	9	3	13	4	-	-	-	-
2012	금천구	68	-	13	4	10	2	8	-	6	1	14	6	2	2	-	-
2012	영등포구	157	-	28	11	26	7	21	5	18	5	16	11	5	2	1	1
2012	동작구	65	-	14	2	14	3	13	1	8	-	3	6	1	-	-	-
2012	관악구	60	-	14	4	13	2	10	1	4	-	5	5	2	-	-	-
2012	서초구	242	-	35	18	33	20	43	15	32	2	18	14	4	5	1	2
2012	강남구	408	1	63	31	61	26	61	32	47	7	26	33	8	9	-	3
2012	송파구	174	-	31	14	26	10	28	10	24	2	10	12	5	2	-	-
2012	강동구	82	-	17	6	16	4	11	3	12	-	6	5	2	-	-	-
2013	합계	2,613	2	470	164	443	153	396	86	311	31	223	202	57	30	2	43
2013	종로구	142	-	25	10	23	12	19	3	12	-	9	15	1	2	-	11
